dataset,model,params,mean_test_accuracy,std_test_accuracy,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_f1,std_test_f1,mean_test_roc_auc,std_test_roc_auc,rank_test_recall
Data1,RandomForest,"{""model__class_weight"": null, ""model__max_depth"": 6, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 200}",0.9807486631016042,0.012472624374000643,0.9764310279633397,0.018897037706750355,0.9761754385964914,0.019549055972402522,0.9761700739865619,0.015538276657482763,0.9984328388538917,0.001058964247231637,16
Data1,RandomForest,"{""model__class_weight"": null, ""model__max_depth"": 6, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 400}",0.9807486631016042,0.012472624374000643,0.9764310279633397,0.018897037706750355,0.9761754385964914,0.019549055972402522,0.9761700739865619,0.015538276657482763,0.9985517848675745,0.0010308761004170755,16
Data1,RandomForest,"{""model__class_weight"": null, ""model__max_depth"": 6, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}",0.9786096256684491,0.014742298130577756,0.9739465402677372,0.022613949809584578,0.9735087719298245,0.023832543943432368,0.9735145415410317,0.018398694050318423,0.9981005215742058,0.0012346655908521908,22
Data1,RandomForest,"{""model__class_weight"": null, ""model__max_depth"": 6, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 400}",0.9786096256684491,0.014742298130577756,0.9739465402677372,0.022613949809584578,0.9735087719298245,0.023832543943432368,0.9735145415410317,0.018398694050318423,0.99817164532954,0.0012155617281625814,22
Data1,RandomForest,"{""model__class_weight"": null, ""model__max_depth"": 10, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 200}",0.9828877005347593,0.011909656391080265,0.9789013385855491,0.015798517477428154,0.9788070175438597,0.018097033353276348,0.9787867050945408,0.01492764810965801,0.9985044706360495,0.0011194787179018759,12
Data1,RandomForest,"{""model__class_weight"": null, ""model__max_depth"": 10, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 400}",0.9828877005347593,0.011909656391080265,0.9789013385855491,0.015798517477428154,0.9788070175438597,0.018097033353276348,0.9787867050945408,0.01492764810965801,0.9987777721330353,0.0010429301818746777,12
Data1,RandomForest,"{""model__class_weight"": null, ""model__max_depth"": 10, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}",0.9796791443850268,0.014896671954207597,0.973982576303773,0.02263403853229999,0.9761403508771929,0.022964369473434346,0.9748743649405901,0.01858535980677075,0.9980291946081421,0.0014186774921657321,19
Data1,RandomForest,"{""model__class_weight"": null, ""model__max_depth"": 10, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 400}",0.9796791443850268,0.014896671954207597,0.973982576303773,0.02263403853229999,0.9761403508771929,0.022964369473434346,0.9748743649405901,0.01858535980677075,0.9980291946081421,0.0013805264942588567,19
Data1,RandomForest,"{""model__class_weight"": ""balanced"", ""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 200}",0.9818181818181818,0.012472624374000648,0.9764670639993757,0.018916340719211933,0.9788070175438597,0.018097033353276348,0.9775298973861203,0.015528025874493609,0.9986464641333062,0.0009830900452548628,12
Data1,RandomForest,"{""model__class_weight"": ""balanced"", ""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 400}",0.9828877005347593,0.012834224598930482,0.9765021517186738,0.018935380439489048,0.9814385964912281,0.018117430971772135,0.9788718283725266,0.01597834770961584,0.9987417530312268,0.0009858930751635686,11
